0888694,"['Alvarez, Albert']",NA,NA,NA
1337418,NA,NA,NA,NA
0234310,NA,NA,NA,NA
0836661,"['Poienaru, Patricia']","['Hong, Bryan']",NA,NA
1720209,"['Firmager, Liam', 'Parrelli, Josie']","['Firmager, Liam']",NA,NA
0280864,NA,NA,NA,NA
0258658,"['Lefakis, Mihalis']","['Stavrou, Aris']",NA,NA
1548805,"['Penth, Markus']","['Fraunholz, Markus']",NA,NA
0269679,NA,NA,NA,NA
1053868,NA,NA,NA,NA
0449027,"['Wong, Irene']","['Dallett, Richard']",NA,NA
1037763,NA,"['Bintoro, Djarot']",NA,NA
0041717,"['Harrison, Joan']","['Planer, Franz']",NA,NA
0832904,NA,"['Barazandeh, Ramin']",NA,NA
0974525,"['Chester, C.L.']",NA,NA,NA
1774527,"['Vawter, Austin']","['Watanka, Joe']",NA,NA
0314778,NA,NA,NA,NA
0062045,"['Trueba, Seraf\xc3\xadn Garc\xc3\xada']","['Foriscot, Emilio']",NA,NA
0140554,"['Zacar\xc3\xadas, Miguel']","['Baqueriza, Guillermo']",NA,NA
1630066,"['Bauer, Christoph', 'Blum, Felix']","['Hoffmann, Jan Hinrich']",NA,NA
0027932,"['Myers, Zion']","['Abel, David']",NA,NA
0190643,NA,NA,NA,NA
0142417,NA,NA,NA,NA
0147423,NA,"['Garroni, Romolo', 'Zanni, Federico']",NA,NA
0863018,"['Dear, Bruce']","['Richard, Justin']",NA,NA
0056867,NA,"['Torres, Ricardo']",NA,NA
0110135,"['Navarro, Carlos Aguilar', 'Barba, Vilma', 'Barletta, Mario', 'B\xc3\xa1rcenas, Rafael', 'Cambefort, Sergio', 'de Brenes, Mercedes Eleta', 'Fontaine, Marie Claire', 'Garc\xc3\xada, Caridad', 'Harker, Eduardo', 'Sanjur, C\xc3\xa9sar']","['Brantley, Luis Franco', 'Rudas, Roberto']",NA,NA
1725980,"['Ojeh, Paul']",NA,NA,NA
0109510,"['Stachecki, Andrzej']","['Lenar, Piotr']",NA,NA
0126592,NA,NA,NA,NA
0374708,NA,NA,NA,NA
1092392,"['Stamboulopoulos, Yiorgos']","['Papakonstadis, Dimitris']",NA,NA
1914317,"['Selig, William Nicholas']",NA,NA,NA
1414120,"['Toye, Amanda']","['Herse, Carl']",NA,NA
0279173,"['G\xc3\xbcrsoy, Hamit']","['Engin, Cahit']",NA,NA
1070445,NA,NA,NA,NA
1308154,NA,NA,NA,NA
0948530,"['De Wulf, Mieke', 'Phlypo, Dries', 'Van Rijckeghem, Jean-Claude', 'Rydant, An']","['Impens, Ruben']",NA,NA
0203740,"['Fujimoto, Sanezumi', 'Kaneko, Masakatsu']","['Koizumi, Fukuz\xc3\xb4']",NA,NA
0172499,"['Vulchev, Nikola']","['Yanakiev, Boris']",NA,NA
0447922,NA,NA,NA,NA
0266813,NA,"['Ivatovic, Branko']",NA,NA
0487540,"['Jim\xc3\xa9nez, Javier']","['Jim\xc3\xa9nez, Nacho']",NA,NA
1814701,"['McCarthy, Danielle', 'Pappas, Kate', 'Pedler, Martyn', 'Polgar, Marek', 'Williams, Mark']","['Whitehouse, Sasha']",NA,NA
0094682,"['Nabeshima, Toshio']","['Suzuki, Tatsuo']",NA,NA
0159943,"['Munkholm, Leon']",NA,NA,NA
0026498,NA,"['Haythorne, Reed N.']",NA,NA
0791421,NA,NA,NA,NA
0340409,NA,NA,NA,NA
0181150,NA,NA,NA,NA
1560997,"['Schotten, William Victor']","['Caleris, David', 'Schotten, William Victor']",NA,NA
0033393,"['Neufeld, Sigmund']","['Greenhalgh, Jack']",NA,NA
0870984,"['Brokemper, Bettina', 'Burah, R\xc3\xa9mi', 'Carlsson, Gunnar', 'Cl\xc3\xa9ment, J\xc3\xa9r\xc3\xb4me', 'Ekman, Madeleine', 'Foldager, Meta Louise', 'Garde, Peter', 'Gl\xc3\xa6sel, Sanne', 'Henke, Gebhard', 'Jensen, Peter Aalb\xc3\xa6k', 'J\xc3\xb6nsson, Lars', 'Occhipinti, Andrea', 'Reilhac, Michel', 'Rexin, Johannes', 'Schreitm\xc3\xbcller, Andreas', 'Slot, Marianne', 'Szumowska, Malgorzata', 'Wendorff-\xc3\x98stergaard, Ole', 'Zurhorst, Meinolf']","['Mantle, Anthony Dod']",NA,NA
1630247,"['Hanson, Peter']",NA,NA,NA
0169224,NA,NA,NA,NA
0352354,NA,NA,NA,NA
0358954,NA,NA,NA,NA
1391711,"['Merle, Frank', 'Olson, Matt']","['Stolte, Jenny']",NA,NA
0053786,"['Matouk, Antonio', 'Ortiz, Ang\xc3\xa9lica']","['Urquiza, Manuel G\xc3\xb3mez']",NA,NA
1305727,"['Dart, Nat']",NA,NA,NA
0439475,"['Griswold, Tom', 'Kevoian, Bob', 'Marra, Steve']","['Barker, Tom', 'Higgins, Gary', 'Voulo, Art']",NA,NA
1442367,"['Crawford, Brandon', 'Dunne, Gavin', 'Martin, Thomas R.', 'Pierre, Blane', 'Regalbuto, Michael', 'Smart, Nigel']","['Wise, Matt']",NA,NA
1720269,"['Leigh, Katy', 'Schwarz, Jeffrey']",NA,NA,NA
0240252,NA,NA,NA,NA
1772884,"['Ackerman, Christian']","['Ackerman, Christian']",NA,NA
0940825,"['Abujamra, Andr\xc3\xa9', 'Gregori, Paolo', 'Filho, Antonio Izidoro', 'Izidoro, M.M.']",NA,NA,NA
0316788,"['Boujard, Didier', 'Charret, Christian', 'Savy, Jean Michel', 'Stuparz, Christophe']","['Soyer, Emmanuel']",NA,NA
0486569,"['Nemoy, Carole Curb', 'Nemoy, Carole Curb', 'Curb, Mike', 'Curb, Mike', 'Rikert, Dustin', 'Worth, Michael']","['Lisk, Neil']",NA,NA
0265649,NA,NA,NA,NA
0302397,"['White, James H.']",NA,NA,NA
0308817,"['Dixon, Sally', 'Hargreaves, Sarah']",NA,NA,NA
1696546,"['Rosen, Larry']",NA,NA,NA
0131429,"['Owensby, Earl']","['Dixon, Irl']",NA,NA
0194725,NA,NA,NA,NA
0151105,NA,NA,NA,NA
1525402,NA,NA,NA,NA
1256550,"['Berben, Oliver', 'Mojto, Jan', 'Susa, Jens Christian', 'Weiger, Cora']","['K\xc3\xbcpper, Frank']",NA,NA
1783690,NA,"['Campos, Ant\xc3\xb4nio']",NA,NA
0179697,NA,NA,NA,NA
0411043,"['Schwarz, Stephan']","['Ziegler, Markus']",NA,NA
1922732,"['Nickpour, Manny']","['Nickpour, Manny']",NA,NA
0182794,"['Baloun, Tom\xc3\xa1s']","['Milic, Rudolf']",NA,NA
1362221,"['Dron, Alex']",NA,NA,NA
0015095,NA,"['Champreux, Maurice', 'Morizet, L\xc3\xa9on']",NA,NA
1786581,"['Amodio, Miguel', 'de Blas, Celia Aurora', 'Johnson, Summer']","['Amodio, Miguel']",NA,NA
1356963,"['Daeley, Michael', 'Kang, Mun', 'Seibel, Benjamin', 'Seibel, Justin', 'Seibel, Susan']","['Givens, Rob']",NA,NA
0400671,NA,NA,NA,NA
0004869,NA,NA,NA,NA
0376885,NA,NA,NA,NA
0244414,"['Elvira, Gonzalo']","['Ramos, Jos\xc3\xa9 Ortiz']",NA,NA
0220136,"['Galindo, Eduardo', 'Galindo, Santiago']","['Cruz, Xavier']",NA,NA
0474943,NA,NA,NA,NA
1020994,"['Bee, Tom', 'Pickard, Cindy']",NA,NA,NA
1331115,"['Cibis, Robert', 'Franck, Lilian', 'Lucassen, Vincent', 'Tejerina, Javiera']","['Cibis, Robert', 'Palacz, Jerzy']",NA,NA
1147628,"['Shuanguan, Ye Chuan', 'Wu, Yung Hua']","['Lai, Cheng-Ying']",NA,NA
1982903,NA,NA,NA,NA
1163868,NA,NA,NA,NA
0273128,NA,NA,NA,NA
0120072,"['Cartlidge, William P.', 'Figuero, Daniel', 'Kamasa, Zygi', 'Keenan, Philip', 'McCabe, Tom', 'Price, Simon', 'Paul, Stuart St.']","['McLean, Malcolm']",NA,NA
0234266,"['Beker, Jeroen', 'Hoffmann, Ellen', 'Langeveld, John', 'van Gestel, Frans']","['Van Oosterhout, Richard']",NA,NA
0044859,"['Jacks, Robert L.', 'Webb, Robert D.']","['Cronjager, Edward']",NA,NA
0055754,"['de Nesle, Robert']","['Izzarelli, Francesco']",NA,NA
0288176,"['Goodman, David', 'Haynal, Kelsy', 'Landeros, Rob']","['Kennedy, Calvin']",NA,NA
0205164,NA,NA,NA,NA
0422723,NA,NA,NA,NA
0093157,"['Dillon, James', 'Nakagawa, Yoshihisa']","['Maeda, Yonez\xc3\xb4']",NA,NA
1492881,"['Annesely, Ben', 'Lately, Steve', 'Mansfield, Ian']","['Annesely, Ben']",NA,NA
0193881,"['King, Burton L.']","['Haller, Ernest']",NA,NA
0121882,NA,NA,NA,NA
0243563,NA,"['Svoboda, Viktor']",NA,NA
0293761,"['Vergara, Luis Enrique']","['Uribe, Alfredo']",NA,NA
0089994,"['Churchill, Patricia', 'Cooney, Joan Ganz', 'Garnett, Tony']","['Clark, Curtis']",NA,NA
0183335,"['Aslan, Muzaffer']","['Davutoglu, Kenan']",NA,NA
0923622,"['Benamara, Nadia', 'Johnston, Phil', 'Yoonessi, Suzi']","['Blaschke, Jarin']",NA,NA
0190648,"['Behr, Barbara']",NA,NA,NA
1339125,"['III, Anderson Broussard', 'Convente, Jay', 'Shepard, Leroy']","['Brunt, Jesse']",NA,NA
0009882,NA,NA,NA,NA
